"Quote_Id","Quote_Date","Quote_Flag","Field_info1","Field_info2","Field_info3","Field_info4","Coverage_info1","Coverage_info2","Coverage_info3","Sales_info1","Sales_info2","Sales_info3","Sales_info4","Sales_info5","Personal_info1","Personal_info2","Personal_info3","Personal_info4","Personal_info5","Property_info1","Property_info2","Property_info3","Property_info4","Property_info5","Geographic_info1","Geographic_info2","Geographic_info3","Geographic_info4","Geographic_info5"
522,"28/8/14",1,"J",0.8928,"1,113","N",12,25,"G",1,3,20,"V",53153,"N",6,"YF",0,,"Y",0,"J",1,10,24,12,-1,"N","TX"
620,"30/6/13",1,"F",0.9919,"564","N",7,22,"E",1,3,17,"T",2892,"N",5,"XM",0,,"N",0,"R",0,17,4,21,-1,"N","NJ"
687,"18/2/13",1,"F",0.9023,"564","N",6,25,"E",1,3,16,"K",46313,"N",7,"XJ",0,2,"N",0,"R",0,16,4,22,-1,"N","NJ"
689,"20/3/14",0,"F",0.9566,"548","N",9,22,"J",1,3,20,"Q",42341,"N",5,"ZF",0,,"N",0,"R",0,15,4,21,-1,"N","NJ"
703,"19/6/14",0,"B",0.9153,"935","N",8,22,"D",1,5,11,"V",62663,"N",5,"ZA",0,2,"N",0,"O",1,21,2,4,-1,"N","CA"
724,"30/12/13",0,"J",0.8922,"1,165","N",4,22,"F",1,3,20,"K",22087,"N",5,"ZF",0,,"N",0,"J",1,3,25,15,-1,"N","TX"
752,"1/8/13",0,"J",0.9691,"1,165","N",8,22,"G",1,5,4,"Q",48001,"N",12,"ZF",0,,"N",0,"O",1,10,6,4,-1,"N","TX"
767,"23/2/15",1,"K",0.887,"1,113","Y",8,2,"G",1,5,11,"K",55483,"N",6,"XM",0,,"N",0,"J",1,8,14,6,-1,"N","TX"
772,"30/5/14",1,"B",0.9153,"935","N",4,22,"J",0,4,11,"V",21229,"N",5,"ZA",0,2,"N",0,"D",1,13,1,12,-1,"N","CA"
808,"11/3/13",0,"B",0.9403,"965","N",18,22,"D",1,5,23,"P",55033,"N",12,"ZA",0,2,"N",0,"A",0,25,1,6,-1,"N","CA"
876,"4/1/14",0,"J",0.8922,"1,113","N",6,22,"F",1,5,7,"R",54214,"N",10,"ZA",0,2,"N",0,"D",0,2,14,4,-1,"N","TX"
884,"25/6/13",0,"B",0.9403,"965","N",8,22,"D",0,5,24,"P",58500,"N",-1,"ZA",0,2,"N",0,"O",0,25,1,8,-1,"N","CA"
946,"24/4/14",0,"F",1.0006,"548","N",2,22,"E",1,3,20,"Q",28541,"N",11,"XR",0,,"N",0,"D",0,21,4,21,-1,"N","NJ"
956,"19/2/13",0,"E",0.9368,"1,480","N",9,22,"A",1,5,23,"T",41389,"N",-1,"XM",0,,"N",0,"J",1,9,9,25,-1,"N","IL"
996,"10/4/15",0,"F",1.0101,"548","N",4,22,"K",1,3,20,"V",44959,"N",1,"ZT",0,,"N",0,"J",1,7,4,18,-1,"N","NJ"
1023,"9/1/13",0,"E",0.9368,"1,480","N",7,22,"F",0,5,23,"T",34283,"N",6,"ZN",0,,"N",0,"R",1,11,9,25,-1,"N","IL"
1043,"7/5/15",0,"K",0.887,"1,113","Y",5,22,"K",1,3,11,"Q",49729,"N",21,"XH",0,,"N",0,"S",1,2,14,9,-1,"N","TX"
1068,"16/6/13",0,"J",0.9691,"1,165","N",6,22,"G",1,5,1,"M",27589,"N",22,"ZA",0,2,"N",0,"J",0,6,24,13,-1,"N","TX"
1070,"24/9/13",0,"B",0.9403,"965","N",13,22,"D",0,5,20,"P",28874,"N",-1,"ZA",0,2,"N",0,"O",0,15,2,11,25,"N","CA"
1146,"28/10/14",0,"J",0.8793,"1,113","N",11,22,"G",1,5,11,"P",29210,"N",5,"XH",0,,"N",0,"S",1,13,24,15,-1,"N","TX"
1190,"3/4/13",0,"J",0.9769,"1,165","N",18,22,"G",0,5,23,"T",502,"N",21,"ZA",0,2,"Y",0,"J",0,14,14,8,-1,"N","TX"
1215,"6/4/15",1,"C",0.8746,"1,487","Y",2,22,"K",0,2,20,"P",4042,"N",17,"XB",0,,"N",0,"D",1,10,9,25,-1,"N","IL"
1217,"17/9/13",0,"B",0.9403,"965","N",8,22,"E",1,4,4,"P",3242,"N",6,"ZA",0,2,"N",0,"O",1,18,2,7,-1,"N","CA"
1255,"12/2/15",0,"B",0.9153,"935","N",17,22,"E",0,4,11,"Q",33097,"N",-1,"ZA",0,2,"Y",0,"O",1,25,2,11,-1,"N","CA"
1256,"23/4/15",0,"B",0.9153,"935","N",3,25,"J",0,3,20,"Q",56362,"N",10,"ZA",0,2,"N",0,"O",1,13,2,7,-1,"N","CA"
1263,"24/5/13",1,"F",0.9313,"564","N",9,25,"E",1,2,15,"V",54662,"N",16,"XD",0,2,"N",0,"R",1,17,4,17,-1,"N","NJ"
1296,"26/12/13",0,"B",0.9403,"965","N",4,22,"D",0,5,7,"Q",54425,"N",-1,"ZA",0,2,"N",0,"O",0,10,2,4,-1,"N","CA"
1311,"29/7/14",1,"B",0.9153,"935","N",2,22,"K",1,3,20,"P",16061,"N",11,"ZA",0,2,"N",0,"O",1,1,2,4,-1,"N","CA"
1367,"8/8/13",1,"B",0.9403,"965","N",3,22,"D",1,5,21,"Q",20258,"N",1,"ZA",0,2,"N",0,"O",0,8,2,4,-1,"N","CA"
1382,"11/8/14",0,"B",0.9153,"935","N",5,22,"D",1,5,11,"K",23056,"N",11,"ZA",0,2,"N",0,"O",0,13,2,4,-1,"N","CA"
1441,"14/1/14",0,"J",0.8922,"1,113","N",6,22,"F",1,5,7,"P",51881,"N",-1,"ZA",0,2,"N",0,"S",0,3,22,4,-1,"N","TX"
1460,"23/5/14",0,"F",1.0006,"548","N",6,22,"E",0,2,20,"V",36751,"N",4,"XB",0,2,"N",0,"R",1,18,4,20,-1,"N","NJ"
1498,"23/5/13",1,"F",0.9313,"564","N",8,22,"K",0,3,1,"Q",57564,"N",4,"XM",0,,"N",0,"R",1,14,4,21,-1,"N","NJ"
1535,"4/6/14",0,"J",0.8928,"1,113","N",7,22,"F",1,5,11,"T",25376,"N",8,"ZA",0,2,"N",0,"F",0,8,20,4,-1,"N","TX"
1602,"2/4/13",1,"B",0.9403,"965","N",5,22,"E",1,3,15,"V",15102,"N",5,"ZA",0,2,"N",0,"O",1,8,2,9,-1,"N","CA"
1626,"6/10/13",0,"B",0.9403,"965","N",11,22,"E",0,3,20,"M",66367,"N",18,"ZA",0,2,"N",0,"O",1,8,2,8,-1,"N","CA"
1651,"21/5/14",0,"F",1.0006,"548","N",6,22,"E",1,3,20,"T",6285,"N",7,"ZF",0,,"Y",0,"N",1,11,4,16,-1,"N","NJ"
1670,"9/4/13",1,"J",0.9769,"1,165","N",2,22,"F",0,4,23,"P",43934,"N",7,"XX",0,2,"N",0,"S",1,1,25,10,-1,"N","TX"
1697,"14/4/13",1,"F",0.9313,"564","N",15,22,"E",1,3,15,"M",30763,"N",6,"XE",0,,"N",0,"R",1,23,4,19,-1,"N","NJ"
1708,"13/6/13",1,"F",0.9919,"564","N",1,22,"E",1,4,1,"P",14978,"N",8,"XD",0,,"N",0,"H",0,7,4,19,-1,"N","NJ"
1750,"9/4/15",0,"B",0.9153,"935","N",4,22,"D",1,5,11,"Q",22543,"N",-1,"ZA",0,2,"N",0,"D",0,8,2,9,25,"N","CA"
1829,"19/3/14",1,"J",0.8922,"1,113","N",8,22,"G",1,4,11,"K",20498,"N",5,"XM",0,,"N",0,"N",1,13,13,6,-1,"N","TX"
1854,"22/4/13",0,"F",0.9313,"564","N",7,22,"E",0,5,10,"K",3160,"N",6,"XM",0,,"N",0,"N",0,6,4,22,-1,"N","NJ"
1877,"4/1/13",0,"B",0.9219,"965","N",6,25,"E",1,3,14,"T",31457,"N",-1,"ZA",0,2,"N",0,"O",1,4,2,4,-1,"N","CA"
1900,"22/8/14",0,"F",1.0006,"548","N",14,22,"E",0,3,20,"V",6554,"N",23,"XX",0,,"N",0,"N",0,22,4,21,-1,"N","NJ"
1934,"20/3/15",0,"F",1.0101,"548","N",6,22,"E",1,5,11,"V",32412,"N",5,"XR",0,,"N",0,"R",1,17,4,19,-1,"N","NJ"
1969,"24/6/14",0,"E",0.9392,"1,487","N",-1,2,"A",1,4,11,"P",28588,"N",6,"ZA",0,2,"N",0,"S",1,-1,9,25,-1,"N","IL"
2004,"10/5/14",0,"J",0.8928,"1,113","N",9,22,"G",1,5,11,"R",47152,"N",18,"ZA",0,2,"N",0,"O",0,16,24,15,-1,"N","TX"
2045,"18/8/14",0,"F",1.0006,"548","N",12,22,"E",1,5,11,"K",47781,"Y",19,"XX",0,,"N",0,"R",1,11,4,16,-1,"N","NJ"
2072,"1/7/13",0,"B",0.9403,"965","N",12,22,"E",0,3,17,"K",14443,"N",6,"ZA",0,2,"N",0,"O",1,8,2,5,-1,"N","CA"
2074,"2/3/15",1,"B",0.9153,"935","N",6,22,"E",1,3,20,"P",33141,"N",6,"ZA",0,2,"N",0,"O",1,12,2,11,-1,"N","CA"
2129,"16/9/13",0,"E",0.9489,"1,480","N",2,22,"K",1,3,16,"K",31344,"N",5,"XB",0,,"N",0,"R",1,4,9,24,-1,"N","IL"
2133,"30/4/15",1,"K",0.887,"1,113","Y",7,2,"G",1,4,11,"V",2649,"N",5,"XM",0,,"N",0,"J",1,7,12,5,-1,"N","TX"
2198,"30/8/13",0,"B",0.9403,"965","N",7,22,"D",0,5,10,"V",15728,"N",-1,"ZA",0,2,"N",0,"D",0,23,2,11,-1,"N","CA"
2233,"27/9/13",1,"F",0.9919,"564","N",15,2,"K",1,5,20,"V",4841,"N",5,"ZN",0,,"N",0,"D",1,21,4,19,-1,"N","NJ"
2272,"29/3/13",0,"B",0.9403,"965","N",13,22,"D",1,5,23,"K",30696,"N",18,"ZA",0,2,"N",0,"O",0,22,2,7,-1,"N","CA"
2303,"12/5/13",1,"J",0.9691,"1,165","N",4,22,"F",1,5,1,"K",31582,"N",25,"XR",0,,"N",0,"I",1,8,14,5,-1,"N","TX"
2314,"27/2/14",0,"J",0.8922,"1,113","N",7,22,"F",0,5,20,"Q",42558,"N",13,"YH",0,,"N",0,"J",1,4,14,6,-1,"N","TX"
2373,"13/3/14",0,"F",0.9566,"548","N",7,22,"E",1,5,20,"V",34096,"N",-1,"YE",0,,"N",0,"R",1,20,4,19,-1,"N","NJ"
2374,"15/1/13",0,"B",0.9219,"965","N",9,22,"J",1,5,23,"P",50416,"N",5,"ZA",0,2,"N",0,"O",0,18,1,15,-1,"N","CA"
2397,"16/12/14",0,"B",0.9153,"935","N",5,22,"E",1,4,11,"P",46243,"N",-1,"ZA",0,2,"N",0,"O",1,10,2,13,-1,"N","CA"
2446,"24/4/15",0,"K",0.887,"1,113","Y",20,22,"A",1,5,11,"V",54395,"N",7,"ZF",0,,"Y",0,"S",1,14,24,15,-1,"N","TX"
2489,"23/2/14",0,"J",0.8922,"1,113","N",5,22,"F",0,5,11,"M",57984,"N",-1,"ZA",0,2,"N",0,"I",0,3,14,6,-1,"N","TX"
2541,"20/8/14",0,"E",0.9364,"1,487","N",1,2,"K",0,4,11,"T",23639,"N",4,"XB",0,,"N",0,"R",1,1,11,25,-1,"N","IL"
2546,"13/8/14",0,"J",0.8928,"1,113","N",8,22,"G",1,5,11,"T",31221,"N",-1,"ZA",0,2,"N",0,"S",0,5,24,11,-1,"N","TX"
2556,"3/3/14",0,"F",0.9566,"548","N",7,22,"E",1,5,11,"K",36000,"N",6,"ZR",0,,"Y",0,"R",1,12,4,17,-1,"N","NJ"
2563,"11/9/14",1,"F",1.0006,"548","N",15,22,"E",1,3,20,"Q",53691,"N",4,"XX",0,,"N",0,"R",1,24,4,21,-1,"N","NJ"
2681,"23/10/13",0,"B",0.9403,"965","N",25,22,"E",0,2,20,"T",50179,"N",7,"ZA",0,2,"N",0,"R",1,25,2,11,-1,"N","CA"
2718,"27/5/14",0,"J",0.8928,"1,113","N",22,22,"G",0,5,11,"P",23612,"N",6,"ZA",0,2,"N",0,"Q",0,15,24,12,-1,"N","TX"
2722,"4/3/13",0,"J",0.9769,"1,165","N",23,25,"G",1,5,23,"T",58790,"N",14,"YF",0,,"N",0,"J",1,25,24,15,-1,"N","TX"
2747,"4/9/13",0,"F",0.9919,"564","N",8,22,"G",1,3,21,"T",62710,"N",6,"ZH",0,2,"N",0,"R",0,13,4,22,-1,"N","NJ"
2767,"25/3/14",0,"B",0.9153,"935","N",20,22,"D",0,5,20,"P",49003,"N",6,"ZA",0,2,"N",0,"O",1,24,2,4,-1,"N","CA"
2780,"13/1/15",0,"K",0.887,"1,113","Y",8,22,"A",1,4,11,"P",52285,"N",6,"XH",0,,"N",0,"J",1,10,19,4,-1,"N","TX"
2827,"8/7/13",0,"F",0.9919,"564","N",5,22,"E",1,3,17,"K",23153,"N",-1,"XQ",0,,"N",0,"H",1,3,4,18,-1,"N","NJ"
2835,"3/1/13",0,"E",0.9368,"1,480","N",1,22,"K",1,5,23,"Q",24021,"N",9,"ZA",0,2,"N",0,"N",0,1,11,23,-1,"N","IL"
2870,"27/2/14",0,"B",0.9403,"935","N",9,22,"D",0,5,20,"Q",18302,"N",6,"ZA",0,2,"N",0,"O",0,15,2,4,25,"N","CA"
2890,"14/6/13",0,"B",0.9403,"965","N",16,2,"K",1,4,1,"V",53068,"N",-1,"ZA",0,2,"N",0,"O",1,20,2,4,-1,"N","CA"
2897,"31/7/14",0,"B",0.9153,"935","N",7,25,"D",1,5,11,"Q",31175,"N",5,"ZA",0,2,"N",0,"O",1,20,2,11,-1,"N","CA"
2983,"29/5/13",0,"B",0.9403,"965","N",25,22,"D",1,5,17,"T",66872,"N",5,"ZA",0,2,"N",0,"O",1,25,1,9,-1,"N","CA"
3067,"14/10/13",1,"F",0.9919,"564","N",16,22,"E",1,3,20,"P",42545,"N",5,"XR",0,,"N",0,"R",1,24,4,19,-1,"N","NJ"
3153,"25/10/13",0,"F",0.9919,"564","N",5,22,"E",1,4,7,"V",29401,"N",-1,"XE",0,,"N",0,"R",1,9,4,17,-1,"N","NJ"
3184,"7/1/14",0,"F",0.9838,"548","N",12,22,"E",0,5,7,"P",36573,"N",6,"XO",0,,"N",0,"R",1,22,4,19,-1,"N","NJ"
3202,"28/1/13",0,"B",0.9219,"965","N",10,22,"J",0,5,24,"K",18382,"N",5,"ZA",0,2,"N",0,"O",0,22,1,15,-1,"N","CA"
3203,"2/6/13",0,"E",0.9485,"1,480","N",5,22,"K",1,5,1,"M",29600,"N",5,"ZA",0,2,"N",0,"R",0,3,10,24,-1,"N","IL"
3205,"27/10/14",1,"B",0.9153,"935","N",4,22,"E",1,4,11,"T",53300,"N",6,"ZA",0,2,"N",0,"O",1,23,2,11,-1,"N","CA"
3225,"19/2/14",0,"B",0.9403,"935","N",7,22,"D",0,5,24,"T",50898,"N",5,"ZA",0,2,"N",0,"O",1,17,2,4,-1,"N","CA"
3277,"25/1/15",0,"K",0.887,"1,113","Y",9,22,"G",1,5,11,"M",5527,"N",-1,"XM",0,,"N",0,"A",1,18,14,5,-1,"N","TX"
3323,"24/8/13",1,"E",0.9487,"1,480","N",10,2,"A",1,4,4,"K",20201,"N",5,"ZD",0,,"N",0,"R",1,13,9,24,-1,"Y","IL"
3356,"6/8/13",0,"F",0.9919,"564","N",16,22,"J",1,3,21,"P",9119,"N",11,"XB",0,2,"N",0,"R",1,23,4,19,-1,"N","NJ"
3384,"15/8/14",0,"E",0.9364,"1,487","N",3,25,"K",1,3,20,"K",31043,"N",5,"ZT",0,,"N",0,"N",1,1,9,24,-1,"N","IL"
3389,"6/2/14",0,"B",0.9403,"935","N",14,22,"D",0,5,11,"T",24961,"N",1,"ZA",0,2,"N",0,"O",0,22,1,15,-1,"N","CA"
3469,"17/12/14",0,"F",1.0005,"548","N",2,25,"E",1,2,20,"T",17947,"N",5,"ZT",0,,"N",0,"R",0,6,4,16,-1,"N","NJ"
3576,"3/2/15",0,"B",0.9153,"935","N",11,22,"D",1,5,11,"K",46183,"N",13,"ZA",0,2,"N",0,"O",1,10,2,6,-1,"N","CA"
3687,"7/5/13",0,"J",0.9691,"1,165","N",8,22,"G",1,5,1,"P",51195,"N",7,"ZA",0,2,"N",0,"R",0,9,24,15,-1,"N","TX"
3693,"17/6/13",0,"J",0.9691,"1,165","N",5,22,"F",1,5,1,"K",19465,"N",5,"ZA",0,2,"N",0,"J",0,4,14,6,-1,"N","TX"
3733,"20/3/15",0,"B",0.9153,"935","N",13,22,"D",1,5,11,"V",40628,"N",6,"ZA",0,2,"Y",0,"O",1,23,2,4,-1,"N","CA"
3767,"6/10/13",1,"B",0.9403,"965","N",9,22,"E",1,3,20,"P",62541,"N",7,"ZA",0,2,"N",0,"O",0,20,2,9,-1,"N","CA"
4058,"13/3/14",0,"B",0.9153,"935","N",19,22,"D",1,5,11,"Q",35951,"N",5,"ZA",0,2,"Y",0,"O",1,15,2,9,-1,"N","CA"
4242,"9/1/13",0,"E",0.9368,"1,480","N",7,22,"A",1,3,14,"V",45986,"N",7,"XD",0,,"N",0,"S",1,7,9,23,-1,"N","IL"
4251,"1/5/13",0,"B",0.9403,"965","N",3,22,"D",1,5,15,"T",15108,"N",6,"ZA",0,2,"N",0,"O",0,3,2,4,-1,"N","CA"
4252,"15/8/14",1,"B",0.9153,"935","N",5,22,"K",1,4,11,"V",6054,"N",5,"ZA",0,2,"Y",0,"O",0,23,2,7,-1,"N","CA"
4316,"2/10/14",0,"B",0.9153,"935","N",16,22,"D",1,5,11,"Q",22952,"N",4,"ZA",0,2,"N",0,"A",1,21,2,11,-1,"N","CA"
4338,"20/8/14",0,"F",1.0006,"548","N",11,22,"J",0,2,20,"T",25870,"N",10,"ZR",0,,"N",0,"R",1,21,4,18,-1,"N","NJ"
4349,"4/2/14",0,"B",0.9403,"935","N",15,22,"E",0,3,20,"P",5656,"N",6,"ZA",0,2,"Y",0,"O",1,16,2,6,-1,"N","CA"
4389,"3/3/14",0,"D",0.9566,"548","N",6,22,"E",1,3,8,"K",64087,"N",-1,"ZC",0,,"N",0,"R",0,7,4,22,-1,"N","NJ"
4405,"19/6/14",0,"B",0.9153,"935","N",12,22,"D",0,5,11,"Q",47099,"N",-1,"ZA",0,2,"N",0,"O",0,7,2,4,-1,"N","CA"
4436,"15/8/13",0,"F",0.9919,"564","N",4,22,"E",0,5,21,"Q",63231,"N",-1,"XH",0,,"N",0,"R",1,6,4,17,-1,"N","NJ"
4490,"15/1/14",0,"E",0.9472,"1,487","N",4,22,"K",1,5,7,"T",38147,"N",19,"XJ",0,,"N",0,"R",1,12,9,23,-1,"N","IL"
4501,"19/11/13",0,"F",0.9919,"564","N",2,22,"E",1,4,7,"P",4056,"N",5,"XR",0,,"N",0,"R",1,5,4,18,-1,"N","NJ"
4518,"7/4/14",1,"F",1.0006,"548","N",6,22,"E",1,3,20,"K",53223,"N",6,"XR",0,,"Y",0,"R",1,13,4,21,-1,"N","NJ"
4586,"7/10/14",0,"F",1.0006,"548","N",5,22,"E",1,5,11,"P",42391,"N",6,"XX",0,,"N",0,"K",1,14,4,19,-1,"N","NJ"
4724,"17/10/13",0,"B",0.9403,"965","N",9,22,"D",1,5,7,"Q",58049,"N",-1,"ZA",0,2,"N",0,"O",0,13,2,12,-1,"N","CA"
4745,"21/4/15",1,"B",0.9153,"935","N",8,25,"E",1,3,11,"Q",47206,"N",6,"ZA",0,2,"N",0,"O",1,17,2,4,-1,"N","CA"
4755,"9/8/13",1,"F",0.9919,"564","N",10,22,"E",1,4,4,"V",61599,"N",5,"XE",0,,"N",0,"D",1,19,4,18,-1,"N","NJ"
4817,"16/7/13",0,"J",0.9691,"1,165","N",7,2,"G",0,5,22,"P",2606,"N",1,"XJ",0,,"N",0,"R",1,2,24,14,-1,"N","TX"
4823,"23/11/14",0,"J",0.887,"1,113","N",16,22,"G",1,5,11,"M",51343,"N",6,"ZR",0,,"N",0,"I",1,11,24,14,-1,"N","TX"
4826,"21/6/14",0,"B",0.9153,"935","N",6,22,"D",0,5,11,"V",7639,"N",5,"ZA",0,2,"Y",0,"O",1,24,2,12,-1,"N","CA"
4853,"13/4/15",0,"B",0.9153,"935","N",3,22,"D",1,5,11,"K",6560,"N",6,"ZA",0,2,"N",0,"R",1,16,2,13,-1,"N","CA"
4877,"5/6/14",0,"J",0.8928,"1,113","N",6,22,"G",1,5,11,"Q",3416,"N",5,"ZA",0,2,"N",0,"R",0,5,14,6,-1,"N","TX"
4894,"29/4/15",0,"K",0.887,"1,113","Y",25,22,"A",1,5,11,"T",15561,"N",6,"ZD",0,,"Y",0,"F",1,24,24,14,-1,"N","TX"
4906,"9/1/14",0,"J",0.8922,"1,113","N",15,22,"F",1,5,7,"Q",62558,"N",13,"ZA",0,2,"Y",0,"J",0,13,14,6,-1,"N","TX"
4933,"25/2/14",0,"B",0.9403,"935","N",2,22,"E",1,3,20,"P",19427,"N",9,"ZA",0,2,"N",0,"D",1,2,2,4,-1,"N","CA"
4941,"27/12/13",1,"F",0.9838,"564","N",14,22,"E",1,3,20,"K",4184,"N",5,"XJ",0,,"N",0,"D",1,24,4,20,-1,"N","NJ"
4958,"26/11/13",1,"B",0.9403,"965","N",5,22,"E",1,3,20,"P",29003,"N",3,"ZA",0,2,"N",0,"O",1,21,2,4,-1,"N","CA"
5020,"20/6/14",0,"E",0.9392,"1,487","N",12,22,"A",0,3,20,"V",58944,"N",8,"XJ",0,,"N",0,"I",1,23,9,25,-1,"N","IL"
5061,"5/9/14",0,"J",0.8928,"1,113","N",8,22,"F",1,5,11,"P",3835,"N",-1,"XJ",0,,"N",0,"F",1,8,18,4,-1,"N","TX"
5179,"12/12/13",0,"F",0.9838,"564","N",21,22,"E",1,5,7,"Q",18095,"N",5,"XO",0,,"N",0,"A",1,24,4,21,-1,"N","NJ"
5330,"13/2/14",0,"J",0.8922,"1,113","N",7,22,"G",1,5,11,"Q",49209,"N",-1,"ZA",0,2,"N",0,"S",0,6,14,6,-1,"Y","TX"
5338,"5/1/14",1,"J",0.8922,"1,113","N",5,22,"K",1,5,7,"M",66241,"N",7,"XR",0,,"N",0,"I",1,5,15,4,-1,"N","TX"
5341,"6/3/15",0,"C",0.893,"1,487","Y",4,22,"K",1,5,11,"Q",29217,"N",-1,"XM",0,,"N",0,"R",1,1,11,24,-1,"N","IL"
5404,"18/6/14",0,"J",0.8928,"1,113","N",22,22,"G",0,5,22,"T",14594,"N",5,"XH",0,2,"Y",0,"J",1,16,14,4,-1,"N","TX"
5417,"29/7/13",0,"B",0.9403,"965","N",17,22,"D",1,5,21,"K",67155,"N",6,"ZA",0,2,"N",0,"O",1,25,1,15,-1,"N","CA"
5453,"21/1/15",0,"J",0.887,"1,113","N",23,22,"A",1,5,11,"T",59741,"N",-1,"XJ",0,,"N",0,"S",1,17,14,7,-1,"N","TX"
5464,"2/7/13",0,"F",0.9919,"564","N",14,22,"E",1,5,17,"P",18080,"N",5,"XI",0,,"N",0,"R",1,21,4,18,-1,"N","NJ"
5488,"12/4/13",0,"B",0.9403,"965","N",22,22,"D",0,5,23,"Q",52811,"N",5,"ZA",0,2,"N",0,"O",0,25,2,8,-1,"N","CA"
5513,"16/8/13",1,"B",0.9403,"965","N",18,22,"K",1,3,21,"V",36088,"N",6,"ZA",0,2,"N",0,"D",0,25,2,4,-1,"N","CA"
5531,"22/4/14",0,"J",0.8922,"1,113","N",6,25,"G",1,4,11,"P",2284,"N",-1,"XM",0,,"Y",0,"J",1,5,25,4,-1,"N","TX"
5551,"10/2/14",1,"F",0.9685,"548","N",4,22,"K",1,4,11,"P",54852,"N",4,"XB",0,2,"N",0,"R",1,13,4,21,-1,"N","NJ"
5555,"28/5/13",0,"B",0.9403,"965","N",4,22,"E",0,3,15,"P",11628,"N",4,"ZA",0,2,"N",0,"O",1,10,2,10,25,"N","CA"
5608,"24/10/13",1,"E",0.9482,"1,480","N",1,22,"K",1,4,7,"P",39191,"N",7,"ZH",0,,"N",0,"R",1,3,9,25,-1,"N","IL"
5638,"7/10/14",0,"J",0.8793,"1,113","N",12,22,"B",1,5,11,"P",11704,"N",6,"XJ",0,,"Y",0,"J",1,10,14,6,-1,"N","TX"
5674,"5/4/14",1,"E",0.9392,"1,487","N",6,25,"K",1,4,11,"Q",1058,"N",6,"XM",0,,"N",0,"J",1,10,9,25,-1,"N","IL"
5817,"18/1/13",1,"B",0.9219,"965","N",10,25,"E",0,4,23,"V",27881,"N",6,"ZA",0,2,"Y",0,"O",1,15,2,4,-1,"N","CA"
5832,"24/1/14",0,"J",0.8922,"1,113","N",7,2,"F",1,5,20,"V",9067,"N",-1,"XX",0,,"N",0,"D",1,5,15,4,-1,"N","TX"
5862,"12/12/14",0,"F",1.0005,"548","N",8,22,"E",1,2,20,"V",66872,"N",-1,"XE",0,,"N",0,"R",1,20,4,21,-1,"N","NJ"
